Student_ID,Student_Name,Subject_Name,Subject_Code,Semester,Internal_Marks,External_Marks,Total_Marks,Grade,Attendance_Percentage
Student023,Name_Student023,English,E103,5,32,80,112,C,63.72
Student037,Name_Student037,Math,M101,8,66,59,125,C,80.35
Student023,Name_Student023,Physics,P102,4,62,47,109,D,81.41
Student041,Name_Student041,Math,M101,5,86,34,120,C,78.98
Student047,Name_Student047,Physics,P102,2,67,71,138,C,87.37
Student012,Name_Student012,Physics,P102,3,99,76,175,A,76.54
Student018,Name_Student018,Physics,P102,5,91,67,158,B,87.33
Student022,Name_Student022,Math,M101,8,39,48,87,D,87.71
Student015,Name_Student015,CS,CS104,6,41,80,121,C,50.7
Student035,Name_Student035,Math,M101,8,77,63,140,B,79.23
